Country;Revenues;Transactions;Rev_per_trans;Log_Trans
ES;1423888;12799;111;9,46
GB;106120,4;492;216;6,20
FR;59854,7;301;199;5,71
US;30483,9;111;275;4,71
DE;27058,2;162;167;5,09
CH;23981,6;82;292;4,41
KR;23678,4;119;199;4,78
BE;19749,6;88;224;4,48
IL;18872,5;91;207;4,51
MX;18770,5;54;348;3,99
IT;18275,4;103;177;4,63
NL;16408,2;87;189;4,47
HU;12124,9;39;311;3,66
PT;11921,7;59;202;4,08
CO;10707,5;27;397;3,30
IE;10079,1;48;210;3,87
PL;9643,3;53;182;3,97
SE;9136,6;29;315;3,37
NO;9059,2;18;503;2,89
SA;7992,6;18;444;2,89
AE;7769,8;20;388;3,00
BR;7477,1;31;241;3,43
CN;7003,8;21;334;3,04
JP;6891,6;37;186;3,61
KW;6578,7;24;274;3,18
AR;6565;33;199;3,50
CA;5301,5;12;442;2,48
FI;5199,3;26;200;3,26
SK;4887,8;21;233;3,04
MA;4810;33;146;3,50
CR;4243,5;16;265;2,77
RU;3818,6;14;273;2,64
HK;3785,5;8;473;2,08
SG;3689,1;10;369;2,30
AT;3241,3;18;180;2,89
CL;2689,9;11;245;2,40
ZZ;2552;20;128;3,00
VE;2498,9;4;625;1,39
CZ;2407,7;12;201;2,48
QA;2370,6;7;339;1,95
DZ;2344,9;10;234;2,30
PE;2092,2;10;209;2,30
GI;2013,1;6;336;1,79
RO;1870,4;11;170;2,40
EG;1764;7;252;1,95
GR;1619,7;12;135;2,48
LU;1313,2;6;219;1,79
BH;1308,3;4;327;1,39
TW;1182,1;5;236;1,61
DK;1060,6;8;133;2,08
MT;1036,4;7;148;1,95
AD;1001,7;4;250;1,39
PR;995,4;3;332;1,10
GH;921,8;2;461;0,69
CV;866;1;866;0,00
PA;840;1;840;0,00
DO;705;3;235;1,10
JO;684,4;4;171;1,39
GG;600;1;600;0,00
KZ;600;1;600;0,00
SI;597,6;5;120;1,61
EC;584,7;3;195;1,10
TR;555,9;5;111;1,61
SV;507,2;3;169;1,10
LV;504;4;126;1,39
CY;414,4;3;138;1,10
MY;369,4;2;185;0,69
MV;265,8;1;266;0,00
MD;262,5;1;263;0,00
JE;255,8;1;256;0,00
IN;254,1;2;127;0,69
ME;248,8;2;124;0,69
MU;242;2;121;0,69
TH;235,2;2;118;0,69
RS;233;2;117;0,69
TN;230;1;230;0,00
PS;205;1;205;0,00
NI;175;1;175;0,00
UY;136,6;2;68;0,69
IQ;132,9;1;133;0,00
BG;122,4;1;122;0,00
IR;114,4;1;114;0,00
EE;107,5;1;108;0,00
JM;104,4;1;104;0,00
IS;66,2;1;66;0,00
AU;36,2;1;36;0,00
