Feature;Revenues;Ingr_transac;Transactions;Revenues
Amazon Silk;660;220,1333333;3;660
Android Browser;6333;111,1070175;57;6333
BlackBerry;477;158,9;3;477
Chrome;913791;124,3422506;7349;913791
Edge;21830;133,9245399;163;21830
Firefox;164305;122,8904263;1337;164305
Internet Explorer;202441;142,5640141;1420;202441
Maxthon;615;205,0666667;3;615
Opera;6547;125,9;52;6547
Safari;376067;148,643004;2530;376067
Safari (in-app);20113;173,3905172;116;20113
UC Browser;287;143,6;2;287
YaBrowser;353;176,5;2;353
YE;266;265,8;1;266
